,Coefficient,mae,evs
vertical_drop,0.0,0.0,1.0
trams,0.0,0.0,1.0
fastEight,0.0,0.0,1.0
fastSixes,0.0,0.0,1.0
fastQuads,0.0,0.0,1.0
quad,0.0,0.0,1.0
triple,0.0,0.0,1.0
double,0.0,0.0,1.0
surface,0.0,0.0,1.0
total_chairs,0.0,0.0,1.0
Runs,0.0,0.0,1.0
TerrainParks,0.0,0.0,1.0
LongestRun_mi,0.0,0.0,1.0
SkiableTerrain_ac,0.0,0.0,1.0
Snow Making_ac,0.0,0.0,1.0
daysOpenLastYear,0.0,0.0,1.0
yearsOpen,0.0,0.0,1.0
averageSnowfall,0.0,0.0,1.0
AdultWeekday,0.0,0.0,1.0
projectedDaysOpen,0.0,0.0,1.0
NightSkiing_ac,0.0,0.0,1.0
clusters,0.0,0.0,1.0
